tau_g,tau_b,epochs,Retain_test,Forget_test,forget_train,MIA,ZRF,dist_bad_vs_student
0.7,0.1,20,70.4,71.3,10.64,0.6908,0.4161,
0.7,0.3,10,74.89,74.3,10.9,0.69,0.5209,
0.7,0.3,15,76.13,77.1,9.3,0.6539,0.4556,
0.7,0.3,20,77.07,76.5,9.1,0.6352,0.3881,
0.7,0.5,10,75.48,74.5,10.18,0.665,0.5257,
0.7,0.5,15,76.66,77.7,9.06,0.6377,0.4027,
0.7,0.5,20,77.39,76.6,8.96,0.6292,0.3776,
0.7,0.7,10,75.82,75.7,11.36,0.664,0.4785,
0.7,0.7,15,76.98,76.6,10.32,0.6351,0.3541,
0.7,0.7,20,76.77,76.2,8.2,0.6321,0.4283,
0.7,1.0,10,75.34,75.0,11.32,0.6589,0.4758,
0.7,1.0,15,76.59,76.4,11.26,0.6319,0.3681,
0.7,1.0,20,76.72,76.5,7.6,0.6282,0.4169,
0.7,3.0,10,74.31,73.8,15.48,0.6673,0.5474,
0.7,3.0,15,75.57,76.1,12.24,0.634,0.4124,
0.7,3.0,20,74.6,74.2,7.18,0.6309,0.4735,
0.7,5.0,10,74.56,73.9,19.14,0.6685,0.5598,
0.7,5.0,15,75.21,75.9,12.14,0.636,0.4137,
0.7,5.0,20,74.54,74.1,7.76,0.6249,0.4678,
0.7,7.0,10,74.38,73.7,18.7,0.666,0.5397,
0.7,7.0,15,75.26,76.1,12.26,0.6336,0.4091,
0.7,7.0,20,74.99,74.7,7.44,0.6262,0.4574,
0.7,10.0,10,74.23,74.7,16.2,0.6548,0.5314,
0.7,10.0,15,75.64,75.8,11.76,0.6285,0.3922,
0.7,10.0,20,74.77,74.7,7.1,0.6255,0.4639,
1.0,0.1,10,70.5,71.0,12.86,0.7405,0.2412,
1.0,0.1,15,72.62,72.8,12.18,0.7044,0.1291,
1.0,0.1,20,69.84,70.5,11.0,0.7135,0.2263,
1.0,0.3,10,73.81,73.8,11.02,0.6984,0.3884,
1.0,0.3,15,77.13,78.6,10.34,0.684,0.0978,
1.0,0.3,20,77.31,77.3,9.72,0.6943,0.009,
1.0,0.5,10,75.78,75.6,8.78,0.686,0.3362,
1.0,0.5,15,77.19,77.5,9.6,0.6743,0.1086,
1.0,0.5,20,77.32,78.0,9.52,0.6816,0.0106,
1.0,0.7,10,75.37,76.3,9.08,0.6842,0.2955,
1.0,0.7,15,77.1,77.8,9.36,0.6718,0.1128,
1.0,0.7,20,77.47,78.0,8.54,0.6776,0.1434,
1.0,1.0,10,75.93,76.8,8.58,0.6877,0.2537,
1.0,1.0,15,76.68,77.1,9.1,0.6836,0.1147,
1.0,1.0,20,77.22,76.9,8.74,0.6758,0.107,
1.0,3.0,10,74.86,74.9,12.12,0.7029,0.2944,
1.0,3.0,15,76.5,76.1,11.56,0.6842,0.089,
1.0,3.0,20,75.96,75.7,6.34,0.6722,0.1897,
1.0,5.0,10,74.86,75.2,12.06,0.6888,0.3003,
1.0,5.0,15,75.92,76.5,12.26,0.6798,0.0984,
1.0,5.0,20,75.79,75.9,6.54,0.6708,0.1832,
1.0,7.0,10,74.9,75.2,11.38,0.6811,0.2884,
1.0,7.0,15,76.19,76.1,11.84,0.6803,0.0883,
1.0,7.0,20,76.54,77.0,8.64,0.6749,0.0945,
1.0,10.0,10,74.83,75.0,11.66,0.6822,0.2756,
1.0,10.0,15,76.51,76.0,12.32,0.6809,0.0727,
1.0,10.0,20,76.66,77.1,8.62,0.6746,0.1126,
3.0,0.1,10,75.91,76.8,15.94,0.8062,-0.9802,
3.0,0.1,15,76.23,77.2,10.44,0.802,-0.8953,
3.0,0.1,20,77.13,78.1,12.4,0.799,-1.0284,
3.0,0.3,10,76.84,77.9,6.48,0.7814,-0.6073,
3.0,0.3,15,76.97,79.0,8.42,0.7827,-0.7813,
3.0,0.3,20,77.58,79.6,10.0,0.7916,-0.9786,
3.0,0.5,10,77.02,78.5,8.28,0.7804,-0.8014,
3.0,0.5,15,76.91,79.3,8.02,0.7807,-0.7984,
3.0,0.5,20,77.27,79.1,10.6,0.7899,-0.959,
3.0,0.7,10,76.96,78.0,8.54,0.7806,-0.8437,
3.0,0.7,15,76.87,78.0,7.6,0.7859,-0.8039,
3.0,0.7,20,77.46,78.2,13.2,0.7961,-1.0003,
3.0,1.0,10,76.73,77.9,8.4,0.7823,-0.8378,
3.0,1.0,15,76.59,78.2,6.08,0.7793,-0.7488,
3.0,1.0,20,77.48,78.4,13.08,0.7945,-0.9781,
3.0,3.0,10,76.14,77.3,8.7,0.7799,-0.7829,
3.0,3.0,15,75.9,77.5,6.04,0.7863,-0.7589,
3.0,3.0,20,76.77,77.4,13.94,0.7916,-0.9567,
3.0,5.0,10,76.1,77.5,10.76,0.783,-0.8333,
3.0,5.0,15,75.87,77.3,5.26,0.7836,-0.7237,
3.0,5.0,20,76.86,77.5,14.0,0.7922,-0.9488,
3.0,7.0,10,76.02,77.4,11.3,0.7847,-0.842,
3.0,7.0,15,76.1,77.7,5.3,0.7844,-0.7439,
3.0,7.0,20,76.8,78.0,14.0,0.7916,-0.9601,
3.0,10.0,10,76.13,77.1,11.5,0.7858,-0.8627,
3.0,10.0,15,75.99,77.5,4.4,0.7847,-0.7291,
3.0,10.0,20,76.67,78.3,12.04,0.7906,-0.9226,
5.0,0.1,10,75.87,77.6,12.92,0.815,-0.9599,
5.0,0.1,15,75.57,77.1,9.5,0.8063,-0.9429,
5.0,0.1,20,77.24,79.0,11.02,0.8,-1.0283,
5.0,0.3,10,76.86,79.1,7.34,0.8016,-0.8969,
5.0,0.3,15,76.79,78.5,7.18,0.793,-0.9212,
5.0,0.3,20,77.61,79.0,10.8,0.7979,-1.0246,
5.0,0.5,10,77.29,78.7,9.66,0.7955,-0.9965,
5.0,0.5,15,76.77,78.4,7.1,0.7941,-0.9506,
5.0,0.5,20,77.29,78.9,10.36,0.7973,-0.9892,
5.0,0.7,10,77.21,78.1,12.22,0.7948,-1.0637,
5.0,0.7,15,76.76,78.3,7.54,0.794,-0.9816,
5.0,0.7,20,77.33,78.5,11.72,0.7968,-1.035,
5.0,1.0,10,76.93,77.5,11.42,0.7893,-1.0109,
5.0,1.0,15,76.57,78.0,8.62,0.7931,-1.0161,
5.0,1.0,20,77.19,78.7,12.34,0.797,-1.0279,
5.0,3.0,10,76.36,77.8,13.24,0.7927,-0.9882,
5.0,3.0,15,75.89,77.1,8.44,0.7938,-0.9787,
5.0,3.0,20,76.84,78.0,15.76,0.7975,-1.0828,
5.0,5.0,10,76.46,77.4,15.3,0.79,-1.0182,
5.0,5.0,15,75.94,76.7,8.4,0.7941,-0.9675,
5.0,5.0,20,76.82,78.0,15.24,0.7966,-1.0708,
5.0,7.0,10,76.53,77.4,15.26,0.7915,-1.0045,
5.0,7.0,15,76.07,77.0,10.34,0.7956,-0.9937,
5.0,7.0,20,76.82,78.3,15.5,0.7975,-1.0796,
5.0,10.0,10,76.64,77.9,16.62,0.7925,-1.0473,
5.0,10.0,15,76.01,76.9,9.52,0.7958,-0.9788,
5.0,10.0,20,76.88,78.2,15.08,0.7976,-1.072,
7.0,0.1,10,75.8,77.2,11.52,0.8096,-0.9365,
